<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Social.Sec.Inv,20220720,919.00,934.00,916.00,926.00,375517557996,405389419,7114,D,916.00,923.00
Social.Sec.Inv,20220719,913.00,922.00,910.00,916.00,314793286443,343510783,6379,D,913.00,918.00
Social.Sec.Inv,20220717,920.00,921.00,910.00,913.00,412861222606,452209812,8678,D,926.00,912.00
Social.Sec.Inv,20220716,926.00,947.00,919.00,926.00,381142137609,411409780,8163,D,932.00,921.00
Social.Sec.Inv,20220713,920.00,939.00,917.00,932.00,277379672114,297632079,6104,D,919.00,930.00
Social.Sec.Inv,20220712,919.00,927.00,910.00,919.00,380475932196,413811563,7541,D,922.00,921.00
Social.Sec.Inv,20220711,925.00,928.00,918.00,922.00,587170711759,636521575,10187,D,928.00,919.00
Social.Sec.Inv,20220709,929.00,933.00,918.00,928.00,398639596950,429695836,8526,D,932.00,926.00
Social.Sec.Inv,20220706,935.00,942.00,925.00,932.00,385852481994,413845070,8156,D,941.00,932.00
Social.Sec.Inv,20220705,937.00,949.00,934.00,941.00,327032469540,347720152,6922,D,945.00,940.00
Social.Sec.Inv,20220704,935.00,960.00,933.00,945.00,405732233697,429427492,7898,D,935.00,936.00
Social.Sec.Inv,20220703,925.00,942.00,922.00,935.00,363306123852,388690463,7743,D,930.00,935.00
Social.Sec.Inv,20220702,938.00,940.00,926.00,930.00,396844365085,426737276,8770,D,944.00,929.00
Social.Sec.Inv,20220629,949.00,952.00,934.00,944.00,350537963947,371409663,7586,D,944.00,949.00
Social.Sec.Inv,20220628,939.00,955.00,932.00,944.00,422327859122,447289542,9214,D,930.00,945.00
Social.Sec.Inv,20220627,922.00,940.00,921.00,930.00,410452570594,441245943,10293,D,928.00,932.00
Social.Sec.Inv,20220626,949.00,950.00,919.00,928.00,601133791661,647439174,13269,D,949.00,919.00
Social.Sec.Inv,20220625,943.00,963.00,943.00,949.00,447816248849,472109431,10580,D,948.00,944.00
Social.Sec.Inv,20220622,955.00,960.00,942.00,948.00,442315631749,466788995,11496,D,955.00,948.00
Social.Sec.Inv,20220621,973.00,973.00,952.00,955.00,364820735465,381948907,9628,D,963.00,955.00
Social.Sec.Inv,20220620,960.00,983.00,953.00,963.00,496601405017,515514146,10365,D,962.00,958.00
Social.Sec.Inv,20220619,970.00,974.00,952.00,962.00,429117230603,446151484,10216,D,958.00,960.00
Social.Sec.Inv,20220618,971.00,977.00,950.00,958.00,619483980931,646793034,13203,D,979.00,960.00
Social.Sec.Inv,20220615,990.00,992.00,972.00,979.00,443138274669,452579076,10182,D,997.00,974.00
Social.Sec.Inv,20220614,1007.00,1007.00,988.00,997.00,773004143046,775433367,13921,D,1010.00,990.00
